"names_and_lsid","Species Name","Scientific Name Authorship","Taxon Rank","Kingdom","Phylum","Class","Order","Family","Genus","Vernacular Name","Number of records","Republic of Korea-Australia Migratory Bird Agreement (ROKAMBA)","South Australia : Conservation Status","Bonn Convention Migratory Taxa","China-Australia Migratory Bird Agreement (CAMBA)","Victoria : Conservation Status","Japan-Australia Migratory Bird Agreement (JAMBA)","Australian Capital Territory : Conservation Status","Tasmania : Conservation Status","Queensland : Conservation Status","EPBC Act Threatened Species","Northern Territory : Conservation Status","New South Wales : Conservation Status","Western Australia : Conservation status","Western Australia : Conservation status: Priority 4","WA State Notifiable Pests"
"Gymnorhina tibicen|https://biodiversity.org.au/afd/taxa/5291343e-fdeb-4a65-8ba5-928f5b96acf5|Australian Magpie|Animalia|Artamidae","Gymnorhina tibicen","(Latham, 1801)","species","Animalia","Chordata","Aves","Passeriformes","Artamidae","Gymnorhina","Australian Magpie","2221005","","","","","","","","","","","","","","",""
"Grallina cyanoleuca|https://biodiversity.org.au/afd/taxa/ce17b284-d607-496a-992f-f3129bfd3997|Magpie-lark|Animalia|Monarchidae","Grallina cyanoleuca","(Latham, 1801)","species","Animalia","Chordata","Aves","Passeriformes","Monarchidae","Grallina","Magpie-lark","1647026","","","","","","","","","","","","","","",""
"Rhipidura (Sauloprocta) leucophrys|https://biodiversity.org.au/afd/taxa/1c4dce12-16f6-49ab-b578-0673551214fd|Willie Wagtail|Animalia|Rhipiduridae","Rhipidura (Sauloprocta) leucophrys","(Latham, 1801)","species","Animalia","Chordata","Aves","Passeriformes","Rhipiduridae","Rhipidura","Willie Wagtail","1395876","","","","","","","","","","","","","","",""
"Hirundo (Hirundo) neoxena|https://biodiversity.org.au/afd/taxa/4e118c73-06a7-4131-bd67-5da5d2d61fd7|Welcome Swallow|Animalia|Hirundinidae","Hirundo (Hirundo) neoxena","Gould, 1843","species","Animalia","Chordata","Aves","Passeriformes","Hirundinidae","Hirundo","Welcome Swallow","1313844","","","","","","","","","","","","","","",""
"Malurus (Malurus) cyaneus|https://biodiversity.org.au/afd/taxa/ae56080e-4e73-457d-93a1-0be6a1d50f34|Superb Fairy-wren|Animalia|Maluridae","Malurus (Malurus) cyaneus","(Ellis, 1782)","species","Animalia","Chordata","Aves","Passeriformes","Maluridae","Malurus","Superb Fairy-wren","1205481","","","","","","","","","","","","","","",""
"Eolophus roseicapilla|https://biodiversity.org.au/afd/taxa/9b4ad548-8bb3-486a-ab0a-905506c463ea|Galah|Animalia|Cacatuidae","Eolophus roseicapilla","(Vieillot, 1817)","species","Animalia","Chordata","Aves","Psittaciformes","Cacatuidae","Eolophus","Galah","1179593","","","","","","","","","","","","","","",""
"Anthochaera (Anthochaera) carunculata|https://biodiversity.org.au/afd/taxa/8204979f-5302-41ea-943f-01d3c420f7bb|Red Wattlebird|Animalia|Meliphagidae","Anthochaera (Anthochaera) carunculata","(Shaw, 1790)","species","Animalia","Chordata","Aves","Passeriformes","Meliphagidae","Anthochaera","Red Wattlebird","1108875","","","","","","","","","","","","","","",""
"Manorina (Myzantha) melanocephala|https://biodiversity.org.au/afd/taxa/ee7498bf-c57c-4463-b313-710d4959cc95|Noisy Miner|Animalia|Meliphagidae","Manorina (Myzantha) melanocephala","(Latham, 1801)","species","Animalia","Chordata","Aves","Passeriformes","Meliphagidae","Manorina","Noisy Miner","1100799","","","","","","","","","","","","","","",""
"Anas (Anas) superciliosa|https://biodiversity.org.au/afd/taxa/241dd5c6-1235-4eb9-b3d5-a44af6b0d444|Pacific Black Duck|Animalia|Anatidae","Anas (Anas) superciliosa","Gmelin, 1789","species","Animalia","Chordata","Aves","Anseriformes","Anatidae","Anas","Pacific Black Duck","1081237","","","","","","","","","","","","","","",""
"Cacatua (Cacatua) galerita|https://biodiversity.org.au/afd/taxa/2c33a1fd-34f4-48ec-9ae6-38b51f2aa7ea|Sulphur-crested Cockatoo|Animalia|Cacatuidae","Cacatua (Cacatua) galerita","(Latham, 1790)","species","Animalia","Chordata","Aves","Psittaciformes","Cacatuidae","Cacatua","Sulphur-crested Cockatoo","1053613","","","","","","","","","","","","","","",""
"Vanellus (Lobipluvia) miles|https://biodiversity.org.au/afd/taxa/46306d30-cfa1-4528-906b-cae2e9c5c0e8|Masked Lapwing|Animalia|Charadriidae","Vanellus (Lobipluvia) miles","(Boddaert, 1783)","species","Animalia","Chordata","Aves","Charadriiformes","Charadriidae","Vanellus","Masked Lapwing","1028923","","","","","","","","","","","","","","",""
