"names_and_lsid","Species Name","Scientific Name Authorship","Taxon Rank","Kingdom","Phylum","Class","Order","Family","Genus","Vernacular Name","Number of records","Republic of Korea-Australia Migratory Bird Agreement (ROKAMBA)","South Australia : Conservation Status","Bonn Convention Migratory Taxa","China-Australia Migratory Bird Agreement (CAMBA)","Victoria : Conservation Status","Japan-Australia Migratory Bird Agreement (JAMBA)","Australian Capital Territory : Conservation Status","Tasmania : Conservation Status","Queensland : Conservation Status","EPBC Act Threatened Species","Northern Territory : Conservation Status","New South Wales : Conservation Status","Western Australia : Conservation status","Western Australia : Conservation status: Priority 4","WA State Notifiable Pests"
"Malurus (Malurus) cyaneus|https://biodiversity.org.au/afd/taxa/ae56080e-4e73-457d-93a1-0be6a1d50f34|Superb Fairy-wren|Animalia|Maluridae","Malurus (Malurus) cyaneus","(Ellis, 1782)","species","Animalia","Chordata","Aves","Passeriformes","Maluridae","Malurus","Superb Fairy-wren","12063","","","","","","","","","","","","","","",""
"Grallina cyanoleuca|https://biodiversity.org.au/afd/taxa/ce17b284-d607-496a-992f-f3129bfd3997|Magpie-lark|Animalia|Monarchidae","Grallina cyanoleuca","(Latham, 1801)","species","Animalia","Chordata","Aves","Passeriformes","Monarchidae","Grallina","Magpie-lark","10169","","","","","","","","","","","","","","",""
"Gymnorhina tibicen|https://biodiversity.org.au/afd/taxa/5291343e-fdeb-4a65-8ba5-928f5b96acf5|Australian Magpie|Animalia|Artamidae","Gymnorhina tibicen","(Latham, 1801)","species","Animalia","Chordata","Aves","Passeriformes","Artamidae","Gymnorhina","Australian Magpie","8603","","","","","","","","","","","","","","",""
"Corvus coronoides|https://biodiversity.org.au/afd/taxa/8117f68b-5460-4626-8400-e171464e08ad|Australian Raven|Animalia|Corvidae","Corvus coronoides","Vigors & Horsfield, 1827","species","Animalia","Chordata","Aves","Passeriformes","Corvidae","Corvus","Australian Raven","8552","","","","","","","","","","","","","","",""
"Rhipidura (Sauloprocta) leucophrys|https://biodiversity.org.au/afd/taxa/1c4dce12-16f6-49ab-b578-0673551214fd|Willie Wagtail|Animalia|Rhipiduridae","Rhipidura (Sauloprocta) leucophrys","(Latham, 1801)","species","Animalia","Chordata","Aves","Passeriformes","Rhipiduridae","Rhipidura","Willie Wagtail","8412","","","","","","","","","","","","","","",""
"Neochmia (Aegintha) temporalis|https://biodiversity.org.au/afd/taxa/984826e3-cee5-4cc6-b993-ecce9d8dbdaf|Red-browed Finch|Animalia|Estrildidae","Neochmia (Aegintha) temporalis","(Latham, 1801)","species","Animalia","Chordata","Aves","Passeriformes","Estrildidae","Neochmia","Red-browed Finch","7978","","","","","","","","","","","","","","",""
"Acridotheres tristis|https://biodiversity.org.au/afd/taxa/56d25dd8-4282-4cd6-9bc7-baaa0b8adfc4|Common Myna|Animalia|Sturnidae","Acridotheres tristis","(Linnaeus, 1766)","species","Animalia","Chordata","Aves","Passeriformes","Sturnidae","Acridotheres","Common Myna","7172","","","","","","","","","","","","","","",""
"Hirundo (Hirundo) neoxena|https://biodiversity.org.au/afd/taxa/4e118c73-06a7-4131-bd67-5da5d2d61fd7|Welcome Swallow|Animalia|Hirundinidae","Hirundo (Hirundo) neoxena","Gould, 1843","species","Animalia","Chordata","Aves","Passeriformes","Hirundinidae","Hirundo","Welcome Swallow","6896","","","","","","","","","","","","","","",""
"Anas (Anas) superciliosa|https://biodiversity.org.au/afd/taxa/241dd5c6-1235-4eb9-b3d5-a44af6b0d444|Pacific Black Duck|Animalia|Anatidae","Anas (Anas) superciliosa","Gmelin, 1789","species","Animalia","Chordata","Aves","Anseriformes","Anatidae","Anas","Pacific Black Duck","6828","","","","","","","","","","","","","","",""
"Vanellus (Lobipluvia) miles|https://biodiversity.org.au/afd/taxa/46306d30-cfa1-4528-906b-cae2e9c5c0e8|Masked Lapwing|Animalia|Charadriidae","Vanellus (Lobipluvia) miles","(Boddaert, 1783)","species","Animalia","Chordata","Aves","Charadriiformes","Charadriidae","Vanellus","Masked Lapwing","6586","","","","","","","","","","","","","","",""
"Manorina (Myzantha) melanocephala|https://biodiversity.org.au/afd/taxa/ee7498bf-c57c-4463-b313-710d4959cc95|Noisy Miner|Animalia|Meliphagidae","Manorina (Myzantha) melanocephala","(Latham, 1801)","species","Animalia","Chordata","Aves","Passeriformes","Meliphagidae","Manorina","Noisy Miner","6236","","","","","","","","","","","","","","",""
"Caligavis chrysops|https://biodiversity.org.au/afd/taxa/e8f3c958-c71f-4ee9-b2a0-230bed965e35|Yellow-faced Honeyeater|Animalia|Meliphagidae","Caligavis chrysops","(Latham, 1801)","species","Animalia","Chordata","Aves","Passeriformes","Meliphagidae","Caligavis","Yellow-faced Honeyeater","6106","","","","","","","","","","","","","","",""
"Zosterops lateralis|https://biodiversity.org.au/afd/taxa/fe0d4e5e-6bd5-4e46-a77c-00e8cec73410|Silvereye|Animalia|Zosteropidae","Zosterops lateralis","(Latham, 1801)","species","Animalia","Chordata","Aves","Passeriformes","Zosteropidae","Zosterops","Silvereye","6024","","","","","","","","","","","","","","",""
