"names_and_lsid","Species Name","Scientific Name Authorship","Taxon Rank","Kingdom","Phylum","Class","Order","Family","Genus","Vernacular Name","Number of records","Republic of Korea-Australia Migratory Bird Agreement (ROKAMBA)","South Australia : Conservation Status","China-Australia Migratory Bird Agreement (CAMBA)","Bonn Convention Migratory Taxa","Victoria : Conservation Status","Japan-Australia Migratory Bird Agreement (JAMBA)","Australian Capital Territory : Conservation Status","Tasmania : Conservation Status","Queensland : Conservation Status","EPBC Act Threatened Species","Northern Territory : Conservation Status","New South Wales : Conservation Status","Western Australia : Conservation status","Western Australia : Conservation status: Priority 4","WA State Notifiable Pests"
"Eudyptula minor|https://biodiversity.org.au/afd/taxa/e0c68347-165c-4bff-b74a-005616df9791|Little Penguin|Animalia|Spheniscidae","Eudyptula minor","(J.R. Forster, 1781)","species","Animalia","Chordata","Aves","Sphenisciformes","Spheniscidae","Eudyptula","Little Penguin","7015","","","","","","","","","","","","","","",""
"Phylidonyris (Meliornis) novaehollandiae|https://biodiversity.org.au/afd/taxa/da002998-b551-4328-ac4e-5e04fc72708b|New Holland Honeyeater|Animalia|Meliphagidae","Phylidonyris (Meliornis) novaehollandiae","(Latham, 1790)","species","Animalia","Chordata","Aves","Passeriformes","Meliphagidae","Phylidonyris","New Holland Honeyeater","2423","","","","","","","","","","","","","","",""
"Anthochaera (Anellobia) chrysoptera|https://biodiversity.org.au/afd/taxa/618a2c4c-ddf2-4042-a6a7-34a3e893c219|Little Wattlebird|Animalia|Meliphagidae","Anthochaera (Anellobia) chrysoptera","(Latham, 1801)","species","Animalia","Chordata","Aves","Passeriformes","Meliphagidae","Anthochaera","Little Wattlebird","1987","","","","","","","","","","","","","","",""
"Dacelo (Dacelo) novaeguineae|https://biodiversity.org.au/afd/taxa/1fc76c4d-4830-4129-9b86-1c7e944c3c50|Laughing Kookaburra|Animalia|Alcedinidae","Dacelo (Dacelo) novaeguineae","(Hermann, 1783)","species","Animalia","Chordata","Aves","Coraciiformes","Alcedinidae","Dacelo","Laughing Kookaburra","1830","","","","","","","","","","","","","","",""
"Eopsaltria (Eopsaltria) australis|https://biodiversity.org.au/afd/taxa/2b0e8999-4326-42b9-922a-cfc48a15661a|Eastern Yellow Robin|Animalia|Petroicidae","Eopsaltria (Eopsaltria) australis","(Shaw, 1790)","species","Animalia","Chordata","Aves","Passeriformes","Petroicidae","Eopsaltria","Eastern Yellow Robin","1736","","","","","","","","","","","","","","",""
"Platycercus (Platycercus) elegans|https://biodiversity.org.au/afd/taxa/5e0f496f-5045-41ff-8c03-f3c8fd4f8ccd|Crimson Rosella|Animalia|Psittacidae","Platycercus (Platycercus) elegans","(Gmelin, 1788)","species","Animalia","Chordata","Aves","Psittaciformes","Psittacidae","Platycercus","Crimson Rosella","1717","","","","","","","","","","","","","","",""
"Rhipidura (Rhipidura) albiscapa|https://biodiversity.org.au/afd/taxa/97a59c84-af21-4cdc-bac7-a97c5201db42|Grey Fantail|Animalia|Rhipiduridae","Rhipidura (Rhipidura) albiscapa","Gould, 1840","species","Animalia","Chordata","Aves","Passeriformes","Rhipiduridae","Rhipidura","Grey Fantail","1631","","","","","","","","","","","","","","",""
"Acanthorhynchus tenuirostris|https://biodiversity.org.au/afd/taxa/2c1a9dfc-56b2-404d-b8fa-360110d04167|Eastern Spinebill|Animalia|Meliphagidae","Acanthorhynchus tenuirostris","(Latham, 1801)","species","Animalia","Chordata","Aves","Passeriformes","Meliphagidae","Acanthorhynchus","Eastern Spinebill","1481","","","","","","","","","","","","","","",""
"Anthochaera (Anthochaera) carunculata|https://biodiversity.org.au/afd/taxa/8204979f-5302-41ea-943f-01d3c420f7bb|Red Wattlebird|Animalia|Meliphagidae","Anthochaera (Anthochaera) carunculata","(Shaw, 1790)","species","Animalia","Chordata","Aves","Passeriformes","Meliphagidae","Anthochaera","Red Wattlebird","1474","","","","","","","","","","","","","","",""
"Trichoglossus|https://biodiversity.org.au/afd/taxa/049f8f82-2064-4910-b4a8-21bdf68f40d2||Animalia|Psittacidae","Trichoglossus","Stephens, 1826","genus","Animalia","Chordata","Aves","Psittaciformes","Psittacidae","Trichoglossus","","1429","","","","","","","","","","","","","","",""
