Common Name,Scientific Name,Count,Reporting Rate
Hardhead,Aythya australis,1,0.06%
Pacific Black Duck,Anas superciliosa,5,0.28%
Australian Wood Duck,Chenonetta jubata,1,0.06%
Stubble Quail,Coturnix pectoralis,1,0.06%
Brown Quail,Synoicus ypsilophorus,1,0.06%
White-headed Pigeon,Columba leucomela,3,0.17%
Spotted Dove,Spilopelia chinensis,4,0.22%
Brown Cuckoo-Dove,Macropygia phasianella,27,1.51%
Wonga Pigeon,Leucosarcia melanoleuca,14,0.78%
Common Bronzewing,Phaps chalcoptera,4,0.22%
Brush Bronzewing,Phaps elegans,5,0.28%
Crested Pigeon,Ocyphaps lophotes,1,0.06%
Bar-shouldered Dove,Geopelia humeralis,1,0.06%
Topknot Pigeon,Lopholaimus antarcticus,26,1.45%
Pheasant Coucal,Centropus phasianinus,1,0.06%
Horsfield's Bronze-Cuckoo,Chalcites basalis,7,0.39%
Shining Bronze-Cuckoo,Chalcites lucidus,20,1.12%
Fan-tailed Cuckoo,Cacomantis flabelliformis,159,8.87%
Brush Cuckoo,Cacomantis variolosus,8,0.45%
Pallid Cuckoo,Heteroscenes pallidus,1,0.06%
Tawny Frogmouth,Podargus strigoides,2,0.11%
Australian Owlet-nightjar,Aegotheles cristatus,1,0.06%
White-throated Needletail,Hirundapus caudacutus,6,0.33%
Lewin's Rail,Lewinia pectoralis,3,0.17%
Buff-banded Rail,Hypotaenidia philippensis,1,0.06%
Eurasian Coot,Fulica atra,1,0.06%
Masked Lapwing,Vanellus miles,1,0.06%
Latham's Snipe,Gallinago hardwickii,2,0.11%
Painted Button-quail,Turnix varius,4,0.22%
White-necked Heron,Ardea pacifica,1,0.06%
Australian White Ibis,Threskiornis moluccus,1,0.06%
Royal Spoonbill,Platalea regia,1,0.06%
Little Pied Cormorant,Microcarbo melanoleucos,1,0.06%
Great Pied Cormorant,Phalacrocorax varius,1,0.06%
Australasian Darter,Anhinga novaehollandiae,1,0.06%
Black-shouldered Kite,Elanus axillaris,3,0.17%
Pacific Baza,Aviceda subcristata,2,0.11%
Wedge-tailed Eagle,Aquila audax,39,2.18%
Little Eagle,Hieraaetus morphnoides,3,0.17%
Swamp Harrier,Circus approximans,9,0.50%
Grey Goshawk,Accipiter novaehollandiae,14,0.78%
Brown Goshawk,Accipiter fasciatus,13,0.73%
Collared Sparrowhawk,Accipiter cirrocephalus,19,1.06%
