Common Name,Scientific Name,Count,Reporting Rate
Blue-billed Duck,Oxyura australis,1,0.02%
Pink-eared Duck,Malacorhynchus membranaceus,1,0.02%
Cape Barren Goose,Cereopsis novaehollandiae,1,0.02%
Black Swan,Cygnus atratus,83,1.48%
Australian Shelduck,Tadorna tadornoides,4,0.07%
Hardhead,Aythya australis,72,1.28%
Australasian Shoveler,Spatula rhynchotis,8,0.14%
Pacific Black Duck,Anas superciliosa,353,6.27%
Grey Teal,Anas gracilis,217,3.86%
Chestnut Teal,Anas castanea,284,5.05%
Musk Duck,Biziura lobata,2,0.04%
Australian Wood Duck,Chenonetta jubata,337,5.99%
Stubble Quail,Coturnix pectoralis,4,0.07%
Brown Quail,Synoicus ypsilophorus,48,0.85%
Australasian Grebe,Tachybaptus novaehollandiae,205,3.64%
Hoary-headed Grebe,Poliocephalus poliocephalus,57,1.01%
Rock Dove,Columba livia,14,0.25%
White-headed Pigeon,Columba leucomela,16,0.28%
Spotted Dove,Spilopelia chinensis,128,2.27%
Brown Cuckoo-Dove,Macropygia phasianella,18,0.32%
Wonga Pigeon,Leucosarcia melanoleuca,39,0.69%
Common Bronzewing,Phaps chalcoptera,197,3.50%
Brush Bronzewing,Phaps elegans,104,1.85%
Crested Pigeon,Ocyphaps lophotes,202,3.59%
Peaceful Dove,Geopelia placida,10,0.18%
Bar-shouldered Dove,Geopelia humeralis,5,0.09%
Brown-capped Emerald-Dove,Chalcophaps longirostris,1,0.02%
Topknot Pigeon,Lopholaimus antarcticus,79,1.40%
Pheasant Coucal,Centropus phasianinus,2,0.04%
Eastern Koel,Eudynamys orientalis,124,2.20%
Channel-billed Cuckoo,Scythrops novaehollandiae,30,0.53%
Horsfield's Bronze-Cuckoo,Chalcites basalis,349,6.20%
Black-eared Cuckoo,Chalcites osculans,2,0.04%
Shining Bronze-Cuckoo,Chalcites lucidus,1024,18.20%
Fan-tailed Cuckoo,Cacomantis flabelliformis,1638,29.11%
Brush Cuckoo,Cacomantis variolosus,22,0.39%
Pallid Cuckoo,Heteroscenes pallidus,10,0.18%
Oriental Cuckoo,Cuculus optatus,2,0.04%
Tawny Frogmouth,Podargus strigoides,17,0.30%
Australian Owlet-nightjar,Aegotheles cristatus,10,0.18%
White-throated Needletail,Hirundapus caudacutus,39,0.69%
Fork-tailed Swift,Apus pacificus,4,0.07%
Lewin's Rail,Lewinia pectoralis,4,0.07%
Buff-banded Rail,Hypotaenidia philippensis,10,0.18%
Purple Swamphen,Porphyrio porphyrio,110,1.95%
Dusky Moorhen,Gallinula tenebrosa,70,1.24%
Eurasian Coot,Fulica atra,90,1.60%
Australian Pied Oystercatcher,Haematopus longirostris,140,2.49%
Sooty Oystercatcher,Haematopus fuliginosus,262,4.66%
Grey Plover,Pluvialis squatarola,1,0.02%
Pacific Golden Plover,Pluvialis fulva,1,0.02%
Red-capped Plover,Charadrius ruficapillus,24,0.43%
Double-banded Plover,Charadrius bicinctus,8,0.14%
Hooded Plover,Thinornis cucullatus,34,0.60%
Black-fronted Dotterel,Elseyornis melanops,31,0.55%
Masked Lapwing,Vanellus miles,484,8.60%
Australian Painted-Snipe,Rostratula australis,1,0.02%
Far Eastern Curlew,Numenius madagascariensis,7,0.12%
Bar-tailed Godwit,Limosa lapponica,4,0.07%
Black-tailed Godwit,Limosa limosa,1,0.02%
Ruddy Turnstone,Arenaria interpres,17,0.30%
Red Knot,Calidris canutus,1,0.02%
Red-necked Stint,Calidris ruficollis,2,0.04%
Sanderling,Calidris alba,1,0.02%
Latham's Snipe,Gallinago hardwickii,1,0.02%
Common Sandpiper,Actitis hypoleucos,1,0.02%
Grey-tailed Tattler,Tringa brevipes,4,0.07%
Painted Button-quail,Turnix varius,8,0.14%
Arctic Jaeger,Stercorarius parasiticus,10,0.18%
Pomarine Jaeger,Stercorarius pomarinus,1,0.02%
Black Noddy,Anous minutus,1,0.02%
Silver Gull,Larus novaehollandiae,452,8.03%
Pacific Gull,Larus pacificus,1,0.02%
Sooty Tern,Onychoprion fuscatus,1,0.02%
Little Tern,Sternula albifrons,3,0.05%
Fairy Tern,Sternula nereis,1,0.02%
Caspian Tern,Hydroprogne caspia,29,0.52%
White-fronted Tern,Sterna striata,2,0.04%
Common Tern,Sterna hirundo,14,0.25%
Greater Crested Tern,Thalasseus bergii,346,6.15%
Little Penguin,Eudyptula minor,7,0.12%
Antipodean Albatross,Diomedea antipodensis,1,0.02%
Light-mantled Sooty Albatross,Phoebetria palpebrata,1,0.02%
Indian Yellow-nosed Albatross,Thalassarche carteri,1,0.02%
Black-browed Albatross,Thalassarche melanophris,18,0.32%
Shy Albatross,Thalassarche cauta,2,0.04%
Northern Giant-Petrel,Macronectes halli,1,0.02%
Southern Fulmar,Fulmarus glacialoides,1,0.02%
Cape Petrel,Daption capense,1,0.02%
Broad-billed Prion,Pachyptila vittata,1,0.02%
Salvin's Prion,Pachyptila salvini,1,0.02%
Antarctic Prion,Pachyptila desolata,1,0.02%
Slender-billed Prion,Pachyptila belcheri,2,0.04%
Fairy Prion,Pachyptila turtur,4,0.07%
White-headed Petrel,Pterodroma lessonii,1,0.02%
Wedge-tailed Shearwater,Ardenna pacifica,25,0.44%
Short-tailed Shearwater,Ardenna tenuirostris,20,0.36%
Sooty Shearwater,Ardenna grisea,1,0.02%
Flesh-footed Shearwater,Ardenna carneipes,2,0.04%
Streaked Shearwater,Calonectris leucomelas,1,0.02%
Fluttering Shearwater,Puffinus gavia,4,0.07%
Hutton's Shearwater,Puffinus huttoni,2,0.04%
Little Shearwater,Puffinus assimilis,3,0.05%
Common Diving-Petrel,Pelecanoides urinatrix,2,0.04%
Australian Pelican,Pelecanus conspicillatus,185,3.29%
Australasian Bittern,Botaurus poiciloptilus,1,0.02%
Nankeen Night-Heron,Nycticorax caledonicus,1,0.02%
Striated Heron,Butorides striata,102,1.81%
Cattle Egret,Bubulcus ibis,4,0.07%
White-necked Heron,Ardea pacifica,6,0.11%
Great Egret,Ardea alba,31,0.55%
Plumed Egret,Ardea plumifera,3,0.05%
White-faced Heron,Egretta novaehollandiae,198,3.52%
Little Egret,Egretta garzetta,5,0.09%
Eastern Reef Egret,Egretta sacra,35,0.62%
Australian White Ibis,Threskiornis moluccus,21,0.37%
Straw-necked Ibis,Threskiornis spinicollis,2,0.04%
Royal Spoonbill,Platalea regia,3,0.05%
Australasian Gannet,Morus serrator,345,6.13%
Little Pied Cormorant,Microcarbo melanoleucos,327,5.81%
Great Cormorant,Phalacrocorax carbo,405,7.20%
Little Black Cormorant,Phalacrocorax sulcirostris,286,5.08%
Great Pied Cormorant,Phalacrocorax varius,203,3.61%
Australasian Darter,Anhinga novaehollandiae,86,1.53%
Osprey,Pandion haliaetus,10,0.18%
Black-shouldered Kite,Elanus axillaris,30,0.53%
Square-tailed Kite,Lophoictinia isura,43,0.76%
Wedge-tailed Eagle,Aquila audax,33,0.59%
Little Eagle,Hieraaetus morphnoides,10,0.18%
Swamp Harrier,Circus approximans,141,2.51%
Spotted Harrier,Circus assimilis,1,0.02%
Grey Goshawk,Accipiter novaehollandiae,50,0.89%
Brown Goshawk,Accipiter fasciatus,96,1.71%
Collared Sparrowhawk,Accipiter cirrocephalus,30,0.53%
White-bellied Sea-Eagle,Haliaeetus leucogaster,675,12.00%
Whistling Kite,Haliastur sphenurus,293,5.21%
Barn Owl,Tyto alba,2,0.04%
Powerful Owl,Ninox strenua,13,0.23%
Barking Owl,Ninox connivens,3,0.05%
Southern Boobook,Ninox boobook,74,1.32%
Rainbow Bee-eater,Merops ornatus,1,0.02%
Oriental Dollarbird,Eurystomus orientalis,41,0.73%
Azure Kingfisher,Ceyx azureus,37,0.66%
Sacred Kingfisher,Todiramphus sanctus,176,3.13%
Laughing Kookaburra,Dacelo novaeguineae,1530,27.19%
Nankeen Kestrel,Falco cenchroides,22,0.39%
Australian Hobby,Falco longipennis,22,0.39%
Brown Falcon,Falco berigora,20,0.36%
Peregrine Falcon,Falco peregrinus,58,1.03%
Glossy Black-Cockatoo,Calyptorhynchus lathami,133,2.36%
Yellow-tailed Black-Cockatoo,Zanda funerea,765,13.60%
Gang-gang Cockatoo,Callocephalon fimbriatum,274,4.87%
Galah,Eolophus roseicapilla,371,6.59%
Little Corella,Cacatua sanguinea,112,1.99%
Sulphur-crested Cockatoo,Cacatua galerita,323,5.74%
Australian King-Parrot,Alisterus scapularis,807,14.34%
Crimson Rosella,Platycercus elegans,2217,39.40%
Eastern Rosella,Platycercus eximius,51,0.91%
Swift Parrot,Lathamus discolor,3,0.05%
Ground Parrot,Pezoporus wallicus,66,1.17%
Musk Lorikeet,Glossopsitta concinna,294,5.22%
Little Lorikeet,Glossopsitta pusilla,156,2.77%
Rainbow Lorikeet,Trichoglossus moluccanus,2458,43.68%
Scaly-breasted Lorikeet,Trichoglossus chlorolepidotus,2,0.04%
Superb Lyrebird,Menura novaehollandiae,3,0.05%
Satin Bowerbird,Ptilonorhynchus violaceus,850,15.11%
White-throated Treecreeper,Cormobates leucophaea,2289,40.68%
Red-browed Treecreeper,Climacteris erythrops,23,0.41%
Brown Treecreeper,Climacteris picumnus,10,0.18%
Variegated Fairy-wren,Malurus lamberti,1251,22.23%
Superb Fairy-wren,Malurus cyaneus,1077,19.14%
Southern Emu-wren,Stipiturus malachurus,280,4.98%
Eastern Bristlebird,Dasyornis brachypterus,1667,29.63%
Scarlet Honeyeater,Myzomela sanguinolenta,429,7.62%
Noisy Friarbird,Philemon corniculatus,1328,23.60%
Brown Honeyeater,Lichmera indistincta,1,0.02%
Crescent Honeyeater,Phylidonyris pyrrhopterus,38,0.68%
New Holland Honeyeater,Phylidonyris novaehollandiae,2627,46.69%
White-cheeked Honeyeater,Phylidonyris niger,282,5.01%
White-eared Honeyeater,Nesoptilotis leucotis,28,0.50%
Blue-faced Honeyeater,Entomyzon cyanotis,1,0.02%
Brown-headed Honeyeater,Melithreptus brevirostris,245,4.35%
White-naped Honeyeater,Melithreptus lunatus,274,4.87%
Tawny-crowned Honeyeater,Gliciphila melanops,169,3.00%
Eastern Spinebill,Acanthorhynchus tenuirostris,2744,48.76%
Lewin's Honeyeater,Meliphaga lewinii,1745,31.01%
Little Wattlebird,Anthochaera chrysoptera,2467,43.84%
Regent Honeyeater,Anthochaera phrygia,2,0.04%
Red Wattlebird,Anthochaera carunculata,2148,38.17%
Fuscous Honeyeater,Ptilotula fusca,89,1.58%
White-plumed Honeyeater,Ptilotula penicillata,1,0.02%
Yellow-faced Honeyeater,Caligavis chrysops,2782,49.44%
Yellow-tufted Honeyeater,Lichenostomus melanops,10,0.18%
Bell Miner,Manorina melanophrys,1,0.02%
Noisy Miner,Manorina melanocephala,14,0.25%
Spotted Pardalote,Pardalotus punctatus,2149,38.19%
Striated Pardalote,Pardalotus striatus,94,1.67%
Brown Gerygone,Gerygone mouki,621,11.04%
White-throated Gerygone,Gerygone olivacea,12,0.21%
Weebill,Smicrornis brevirostris,8,0.14%
Pilotbird,Pycnoptilus floccosus,5,0.09%
Chestnut-rumped Heathwren,Calamanthus pyrrhopygius,25,0.44%
Yellow-throated Scrubwren,Sericornis citreogularis,2,0.04%
White-browed Scrubwren,Sericornis frontalis,1958,34.80%
Large-billed Scrubwren,Sericornis magnirostra,4,0.07%
Yellow-rumped Thornbill,Acanthiza chrysorrhoa,4,0.07%
Yellow Thornbill,Acanthiza nana,137,2.43%
Striated Thornbill,Acanthiza lineata,820,14.57%
Brown Thornbill,Acanthiza pusilla,2514,44.68%
Buff-rumped Thornbill,Acanthiza reguloides,9,0.16%
Varied Sittella,Daphoenositta chrysoptera,118,2.10%
Black-faced Cuckoo-shrike,Coracina novaehollandiae,488,8.67%
White-bellied Cuckoo-shrike,Coracina papuensis,3,0.05%
Common Cicadabird,Edolisoma tenuirostre,10,0.18%
Rufous Whistler,Pachycephala rufiventris,1432,25.45%
Golden Whistler,Pachycephala pectoralis,1455,25.86%
Grey Shrike-thrush,Colluricincla harmonica,1665,29.59%
Crested Shrike-tit,Falcunculus frontatus,73,1.30%
Eastern Whipbird,Psophodes olivaceus,2575,45.76%
Australasian Figbird,Sphecotheres vieilloti,9,0.16%
Olive-backed Oriole,Oriolus sagittatus,1036,18.41%
Pied Currawong,Strepera graculina,1386,24.63%
Grey Currawong,Strepera versicolor,6,0.11%
Australian Magpie,Gymnorhina tibicen,562,9.99%
Pied Butcherbird,Cracticus nigrogularis,13,0.23%
Grey Butcherbird,Cracticus torquatus,696,12.37%
Dusky Woodswallow,Artamus cyanopterus,79,1.40%
Willie Wagtail,Rhipidura leucophrys,304,5.40%
Rufous Fantail,Rhipidura rufifrons,82,1.46%
Grey Fantail,Rhipidura albiscapa,3103,55.14%
Little Raven,Corvus mellori,14,0.25%
