"Scientific_Name_BD","Common_Name_BD","Scientific_Name_ALA","Common_Name_ALA","Match_Type"
"Oxyura australis","Blue-billed Duck","Oxyura australis","Blue-billed Duck","Exact - Scientific Name"
"Malacorhynchus membranaceus","Pink-eared Duck","Malacorhynchus membranaceus","Pink-eared Duck","Exact - Scientific Name"
"Cygnus atratus","Black Swan","Cygnus atratus","Black Swan","Exact - Scientific Name"
"Spatula rhynchotis","Australasian Shoveler","Spatula rhynchotis","Australasian Shoveler","Exact - Scientific Name"
"Anas gracilis","Grey Teal","Anas gracilis","Grey Teal","Exact - Scientific Name"
"Stictonetta naevosa","Freckled Duck","Stictonetta naevosa","Freckled Duck","Exact - Scientific Name"
"Biziura lobata","Musk Duck","Biziura lobata","Musk Duck","Exact - Scientific Name"
"Chenonetta jubata","Australian Wood Duck","Chenonetta jubata","Australian Wood Duck","Exact - Scientific Name"
"Alectura lathami","Australian Brush-turkey","Alectura lathami","Australian Brush-turkey","Exact - Scientific Name"
"Numida meleagris","Helmeted Guineafowl","Numida meleagris","Helmeted Guineafowl","Exact - Scientific Name"
"Tachybaptus novaehollandiae","Australasian Grebe","Tachybaptus novaehollandiae","Australasian Grebe","Exact - Scientific Name"
"Poliocephalus poliocephalus","Hoary-headed Grebe","Poliocephalus poliocephalus","Hoary-headed Grebe","Exact - Scientific Name"
"Podiceps cristatus","Great Crested Grebe","Podiceps cristatus","Great Crested Grebe","Exact - Scientific Name"
"Spilopelia chinensis","Spotted Dove","Spilopelia chinensis","Spotted Turtle-dove","Exact - Scientific Name"
"Leucosarcia melanoleuca","Wonga Pigeon","Leucosarcia melanoleuca","Wonga Pigeon","Exact - Scientific Name"
"Ocyphaps lophotes","Crested Pigeon","Ocyphaps lophotes","Crested Pigeon","Exact - Scientific Name"
"Geopelia cuneata","Diamond Dove","Geopelia cuneata","Diamond Dove","Exact - Scientific Name"
"Geopelia placida","Peaceful Dove","Geopelia placida","Peaceful Dove","Exact - Scientific Name"
"Geopelia humeralis","Bar-shouldered Dove","Geopelia humeralis","Bar-shouldered Dove","Exact - Scientific Name"
"Chalcophaps longirostris","Brown-capped Emerald-Dove","Chalcophaps longirostris","Brown-capped Emerald-dove","Exact - Scientific Name"
"Lopholaimus antarcticus","Topknot Pigeon","Lopholaimus antarcticus","Topknot Pigeon","Exact - Scientific Name"
"Centropus phasianinus","Pheasant Coucal","Centropus phasianinus","Pheasant Coucal","Exact - Scientific Name"
"Eudynamys orientalis","Eastern Koel","Eudynamys orientalis","Eastern Koel","Exact - Scientific Name"
"Scythrops novaehollandiae","Channel-billed Cuckoo","Scythrops novaehollandiae","Channel-billed Cuckoo","Exact - Scientific Name"
"Chalcites basalis","Horsfield's Bronze-Cuckoo","Chalcites basalis","Horsfield's Bronze-cuckoo","Exact - Scientific Name"
"Chalcites osculans","Black-eared Cuckoo","Chalcites osculans","Black-eared Cuckoo","Exact - Scientific Name"
"Chalcites lucidus","Shining Bronze-Cuckoo","Chalcites lucidus","Shining Bronze-cuckoo","Exact - Scientific Name"
"Heteroscenes pallidus","Pallid Cuckoo","Heteroscenes pallidus","Pallid Cuckoo","Exact - Scientific Name"
"Cuculus optatus","Oriental Cuckoo","Cuculus optatus","Oriental Cuckoo","Exact - Scientific Name"
"Podargus strigoides","Tawny Frogmouth","Podargus strigoides","Tawny Frogmouth","Exact - Scientific Name"
"Hirundapus caudacutus","White-throated Needletail","Hirundapus caudacutus","White-throated Needletail","Exact - Scientific Name"
"Lewinia pectoralis","Lewin's Rail","Lewinia pectoralis","Lewin's Rail","Exact - Scientific Name"
"Hypotaenidia philippensis","Buff-banded Rail","Hypotaenidia philippensis","Buff-banded Rail","Exact - Scientific Name"
"Zapornia tabuensis","Spotless Crake","Zapornia tabuensis","Spotless Crake","Exact - Scientific Name"
"Fulica atra","Eurasian Coot","Fulica atra","Eurasian Coot","Exact - Scientific Name"
"Recurvirostra novaehollandiae","Red-necked Avocet","Recurvirostra novaehollandiae","Red-necked Avocet","Exact - Scientific Name"
"Elseyornis melanops","Black-fronted Dotterel","Elseyornis melanops","Black-fronted Dotterel","Exact - Scientific Name"
"Erythrogonys cinctus","Red-kneed Dotterel","Erythrogonys cinctus","Red-kneed Dotterel","Exact - Scientific Name"
"Rostratula australis","Australian Painted-Snipe","Rostratula australis","Australian Painted Snipe","Exact - Scientific Name"
"Stercorarius longicaudus","Long-tailed Jaeger","Stercorarius longicaudus","Long-tailed Skua","Exact - Scientific Name"
"Stercorarius parasiticus","Arctic Jaeger","Stercorarius parasiticus","Arctic Skua","Exact - Scientific Name"
"Stercorarius pomarinus","Pomarine Jaeger","Stercorarius pomarinus","Pomarine Jaeger","Exact - Scientific Name"
"Larus pacificus","Pacific Gull","Larus pacificus","Pacific Gull","Exact - Scientific Name"
"Larus dominicanus","Kelp Gull","Larus dominicanus","Kelp Gull","Exact - Scientific Name"
"Thalasseus bergii","Greater Crested Tern","Thalasseus bergii","Crested Tern","Exact - Scientific Name"
"Eudyptula minor","Little Penguin","Eudyptula minor","Little Penguin","Exact - Scientific Name"
"Thalassarche carteri","Indian Yellow-nosed Albatross","Thalassarche carteri","Indian Yellow-nosed Albatross","Exact - Scientific Name"
"Thalassarche melanophris","Black-browed Albatross","Thalassarche melanophris","Black-browed Albatross","Exact - Scientific Name"
"Thalassarche impavida","Campbell Albatross","Thalassarche impavida","Campbell Albatross","Exact - Scientific Name"
"Thalassarche cauta","Shy Albatross","Thalassarche cauta","Shy Albatross","Exact - Scientific Name"
"Macronectes halli","Northern Giant-Petrel","Macronectes halli","Northern Giant-petrel","Exact - Scientific Name"
"Daption capense","Cape Petrel","Daption capense","Cape Petrel","Exact - Scientific Name"
"Pachyptila turtur","Fairy Prion","Pachyptila turtur","Fairy Prion","Exact - Scientific Name"
"Ardenna pacifica","Wedge-tailed Shearwater","Ardenna pacifica","Wedge-tailed Shearwater","Exact - Scientific Name"
"Ardenna tenuirostris","Short-tailed Shearwater","Ardenna tenuirostris","Short-tailed Shearwater","Exact - Scientific Name"
"Ardenna grisea","Sooty Shearwater","Ardenna grisea","Sooty Shearwater","Exact - Scientific Name"
"Ardenna carneipes","Flesh-footed Shearwater","Ardenna carneipes","Flesh-footed Shearwater","Exact - Scientific Name"
"Calonectris leucomelas","Streaked Shearwater","Calonectris leucomelas","Streaked Shearwater","Exact - Scientific Name"
"Pelecanus conspicillatus","Australian Pelican","Pelecanus conspicillatus","Australian Pelican","Exact - Scientific Name"
"Ixobrychus dubius","Australian Little Bittern","Ixobrychus dubius","Minute Bittern","Exact - Scientific Name"
"Nycticorax caledonicus","Nankeen Night-Heron","Nycticorax caledonicus","Nankeen Night-heron","Exact - Scientific Name"
"Bubulcus ibis","Cattle Egret","Bubulcus ibis","Cattle Egret","Exact - Scientific Name"
"Ardea pacifica","White-necked Heron","Ardea pacifica","White-necked Heron","Exact - Scientific Name"
"Ardea alba","Great Egret","Ardea alba","Great Egret","Exact - Scientific Name"
"Egretta novaehollandiae","White-faced Heron","Egretta novaehollandiae","White-faced Heron","Exact - Scientific Name"
"Threskiornis moluccus","Australian White Ibis","Threskiornis moluccus","Australian White Ibis","Exact - Scientific Name"
"Threskiornis spinicollis","Straw-necked Ibis","Threskiornis spinicollis","Straw-necked Ibis","Exact - Scientific Name"
"Plegadis falcinellus","Glossy Ibis","Plegadis falcinellus","Glossy Ibis","Exact - Scientific Name"
"Morus serrator","Australasian Gannet","Morus serrator","Australasian Gannet","Exact - Scientific Name"
"Microcarbo melanoleucos","Little Pied Cormorant","Microcarbo melanoleucos","Little Pied Cormorant","Exact - Scientific Name"
"Anhinga novaehollandiae","Australasian Darter","Anhinga novaehollandiae","Australasian Darter","Exact - Scientific Name"
"Elanus axillaris","Black-shouldered Kite","Elanus axillaris","Black-shouldered Kite","Exact - Scientific Name"
"Lophoictinia isura","Square-tailed Kite","Lophoictinia isura","Square-tailed Kite","Exact - Scientific Name"
"Circus approximans","Swamp Harrier","Circus approximans","Swamp Harrier","Exact - Scientific Name"
"Circus assimilis","Spotted Harrier","Circus assimilis","Spotted Harrier","Exact - Scientific Name"
"Haliastur sphenurus","Whistling Kite","Haliastur sphenurus","Whistling Kite","Exact - Scientific Name"
"Milvus migrans","Black Kite","Milvus migrans","Black Kite","Exact - Scientific Name"
"Tyto tenebricosa","Greater Sooty Owl","Tyto tenebricosa","Sooty Owl","Exact - Scientific Name"
"Tyto novaehollandiae","Masked Owl","Tyto novaehollandiae","Masked Owl","Exact - Scientific Name"
"Eurystomus orientalis","Oriental Dollarbird","Eurystomus orientalis","Dollarbird","Exact - Scientific Name"
"Ceyx azureus","Azure Kingfisher","Ceyx azureus","Azure Kingfisher","Exact - Scientific Name"
"Nymphicus hollandicus","Cockatiel","Nymphicus hollandicus","Cockatiel","Exact - Scientific Name"
"Zanda funerea","Yellow-tailed Black-Cockatoo","Zanda funerea","Yellow-tailed Black-cockatoo","Exact - Scientific Name"
"Callocephalon fimbriatum","Gang-gang Cockatoo","Callocephalon fimbriatum","Gang-gang Cockatoo","Exact - Scientific Name"
"Eolophus roseicapilla","Galah","Eolophus roseicapilla","Galah","Exact - Scientific Name"
"Alisterus scapularis","Australian King-Parrot","Alisterus scapularis","Australian King-parrot","Exact - Scientific Name"
"Psephotus haematonotus","Red-rumped Parrot","Psephotus haematonotus","Red-rumped Parrot","Exact - Scientific Name"
"Northiella haematogaster","Bluebonnet","Northiella haematogaster","Bluebonnet","Exact - Scientific Name"
"Lathamus discolor","Swift Parrot","Lathamus discolor","Swift Parrot","Exact - Scientific Name"
"Glossopsitta concinna","Musk Lorikeet","Glossopsitta concinna","Musk Lorikeet","Exact - Scientific Name"
"Trichoglossus chlorolepidotus","Scaly-breasted Lorikeet","Trichoglossus chlorolepidotus","Scaly-breasted Lorikeet","Exact - Scientific Name"
"Ailuroedus crassirostris","Green Catbird","Ailuroedus crassirostris","Green Catbird","Exact - Scientific Name"
"Ptilonorhynchus violaceus","Satin Bowerbird","Ptilonorhynchus violaceus","Satin Bowerbird","Exact - Scientific Name"
"Cormobates leucophaea","White-throated Treecreeper","Cormobates leucophaea","White-throated Treecreeper","Exact - Scientific Name"
"Stipiturus malachurus","Southern Emu-wren","Stipiturus malachurus","Southern Emu-wren","Exact - Scientific Name"
"Grantiella picta","Painted Honeyeater","Grantiella picta","Painted Honeyeater","Exact - Scientific Name"
"Plectorhyncha lanceolata","Striped Honeyeater","Plectorhyncha lanceolata","Striped Honeyeater","Exact - Scientific Name"
"Nesoptilotis leucotis","White-eared Honeyeater","Nesoptilotis leucotis","White-eared Honeyeater","Exact - Scientific Name"
"Entomyzon cyanotis","Blue-faced Honeyeater","Entomyzon cyanotis","Blue-faced Honeyeater","Exact - Scientific Name"
"Gliciphila melanops","Tawny-crowned Honeyeater","Gliciphila melanops","Tawny-crowned Honeyeater","Exact - Scientific Name"
"Acanthorhynchus tenuirostris","Eastern Spinebill","Acanthorhynchus tenuirostris","Eastern Spinebill","Exact - Scientific Name"
"Acanthagenys rufogularis","Spiny-cheeked Honeyeater","Acanthagenys rufogularis","Spiny-cheeked Honeyeater","Exact - Scientific Name"
"Gavicalis virescens","Singing Honeyeater","Gavicalis virescens","Singing Honeyeater","Exact - Scientific Name"
"Ptilotula fusca","Fuscous Honeyeater","Ptilotula fusca","Fuscous Honeyeater","Exact - Scientific Name"
"Ptilotula penicillata","White-plumed Honeyeater","Ptilotula penicillata","White-plumed Honeyeater","Exact - Scientific Name"
"Caligavis chrysops","Yellow-faced Honeyeater","Caligavis chrysops","Yellow-faced Honeyeater","Exact - Scientific Name"
"Lichenostomus melanops","Yellow-tufted Honeyeater","Lichenostomus melanops","Yellow-tufted Honeyeater","Exact - Scientific Name"
"Gerygone mouki","Brown Gerygone","Gerygone mouki","Brown Gerygone","Exact - Scientific Name"
"Gerygone olivacea","White-throated Gerygone","Gerygone olivacea","White-throated Gerygone","Exact - Scientific Name"
"Gerygone fusca","Western Gerygone","Gerygone fusca","Western Gerygone","Exact - Scientific Name"
"Smicrornis brevirostris","Weebill","Smicrornis brevirostris","Weebill","Exact - Scientific Name"
"Pycnoptilus floccosus","Pilotbird","Pycnoptilus floccosus","Pilotbird","Exact - Scientific Name"
"Pyrrholaemus sagittatus","Speckled Warbler","Pyrrholaemus sagittatus","Speckled Warbler","Exact - Scientific Name"
"Origma solitaria","Rockwarbler","Origma solitaria","Rockwarbler","Exact - Scientific Name"
"Aphelocephala leucopsis","Southern Whiteface","Aphelocephala leucopsis","Southern Whiteface","Exact - Scientific Name"
"Edolisoma tenuirostre","Common Cicadabird","Edolisoma tenuirostre","Cicadabird","Exact - Scientific Name"
"Falcunculus frontatus","Crested Shrike-tit","Falcunculus frontatus","Crested Shrike-tit","Exact - Scientific Name"
